Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that facilitated my learning.	"The instructor encouraged me to take a role in my own learning, to ask questions, and to participate."	The instructor was well prepared to teach.	The instructor was available outside of class either electronically or in person.	The instructor is one whom I would recommend to other students.
"Wilensky,Terrance:MANA 3318 009"	Mean	3.9688	3.9375	4.5625	4.4688	4.0938	3.9375
	N	32	32	32	32	32	32
"Wilk-Blaszcza,Malgorzata:BIOL-3301-001-CELL PHYSIOLOGY"	Mean	4.0102	3.9082	4.2292	4.3232	4.1717	3.7172
	N	98	98	96	99	99	99
"Wilk-Blaszcza,Malgorzata:BIOL-4315-001-GENERAL ENDOCRINOLOGY"	Mean	4.0476	4.2857	4.619	4.5238	4.2857	4.4762
	N	21	21	21	21	21	21
"Willey,John:ENGL-1302-001-CRITICAL THINK, READ, WRITE"	Mean	4.2222	4.2222	4.5556	4.4444	4.6667	4.1111
	N	9	9	9	9	9	9
"Willey,John:ENGL-1302-007-CRITICAL THINK, READ, WRITE"	Mean	4.3846	4.1538	4.2308	4.5385	4.6154	4.3846
	N	13	13	13	13	13	13
"Williams,Courtney:SCED-5351-005-PHYS SCI MATTER PROPS/CHANGES"	Mean	4.5	4.5	4.5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Williams,Courtney:SCED-5352-005-PHYSICAL SCI FORCE & ENERGY"	Mean	4.4	4	4	4	4.2	3.8
	N	5	5	5	5	5	5
"Williams,James:CE-1104-001-INTRO TO ENGR"	Mean	4.1333	3.9286	3.9333	4.3333	3.8	4.1333
	N	15	14	15	15	15	15
"Williams,James:CE-1104-002-INTRO TO ENGR"	Mean	3.7368	3.7895	3.7368	4.3158	3.6667	3.7895
	N	19	19	19	19	18	19
"Williams,James:CE-5330-001-CHARACTERISTICS OF TRAFFIC"	Mean	4.6667	4.6667	4.5	4.5	4.5	4.6667
	N	3	3	4	4	4	3
"Williford,Kenneth:PHIL-2311-001-LOGIC"	Mean	3.8095	3.4762	4.0952	4	4.2381	3.9048
	N	21	21	21	21	21	21
"Willson,Nancy:NURS-3335-201-RN-BSN HEALTH PROMOTION (2102-21911)"	Mean	4.6667	4.6829	4.675	4.6905	4.5	4.7619
	N	42	41	40	42	42	42
"Willson,Nancy:NURS-3335-500-RN-BSN HEALTH PROMOTION"	Mean	4.3333	4.3333	4.1667	4.3333	4	4.1667
	N	6	6	6	6	5	6
"Wilson,Donald:AE-5101-001-GRADUATE SEMINAR"	Mean	4.1053	4.0526	4	4.0526	3.9474	4
	N	19	19	19	19	19	19
"Wilson,Donald:AE-5101-002-GRADUATE SEMINAR"	Mean	4.2	4.4	4.4	4.4	4.6	4.2
	N	5	5	5	5	5	5
"Wilson,Donald:AE-5326-001-AIR-BREATHING PROPULSION (2102-24713)"	Mean	4	3.25	3.75	3.75	4.75	4.5
	N	4	4	4	4	4	4
"Wilson,Donald:AE-5326-002-AIR-BREATHING PROPULSION (2102-24714)"	Mean	4	4	4	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Wilson,Judy:KINE-4300-001-APPLIED EXERCISE PHYSIOLOGY"	Mean	4.7333	4.6667	4.6667	4.8667	4.8	4.8
	N	15	15	15	15	15	15
"Wilson,Linda:MARK-3323-003-INTEGRATED MARKETING COMM"	Mean	4.3125	4.1875	4.5	4.4375	4	4.3125
	N	16	16	16	16	16	16
"Wilson,Linda:MARK-4303-001-RETAIL AND SERVICE MARKETING (2102-22176)"	Mean	4.2105	4.1842	4.3243	4.5556	4.1944	4.0811
	N	38	38	37	36	36	37
"Wilson,William:ACCT-5324-001-FINANCIAL STATEMENT ANALYSIS"	Mean	3.8	3.76	4.04	4.28	4	3.92
	N	25	25	25	25	25	25
"Wimberly,Clarence:MAE-1104-001-INTRODUCTION TO ENGINEERING"	Mean	4.0909	3.9565	3.9111	4.2727	3.7111	3.913
	N	44	46	45	44	45	46
"Wimberly,Clarence:MAE-1104-002-INTRODUCTION TO ENGINEERING"	Mean	4.1136	3.8182	3.6667	3.9778	3.9773	3.6222
	N	44	44	45	45	44	45
"Wimberly,Clarence:MAE-3309-001-THERMAL ENGINEERING"	Mean	3.7778	2.8889	3.5926	3.8846	3.6667	3.2222
	N	27	27	27	26	27	27
"Winguth,Arne:GEOL-1425-001-EARTH SYSTEMS"	Mean	4.1667	3.9048	3.8605	4.3953	4.4186	3.9286
	N	42	42	43	43	43	42
"Winguth,Arne:GEOL-2411-001-GLOBAL WARMING"	Mean	3.8571	3.6667	4.4286	5	4.8571	4.4286
	N	7	6	7	7	7	7
"Winguth,Cornelia:GEOL 1425-003"	Mean	4.4737	4.3243	4.0263	4.6486	4.4054	4.4324
	N	38	37	38	37	37	37
"Winguth,Cornellia:SCIE 3303 001"	Mean	4.4359	4.3077	4.1026	4.5476	4.4146	4.5
	N	39	39	39	42	41	38
"Winterbotham,Glyn:ACCT-3311-001-FINANCIAL ACCOUNTING I"	Mean	4.0816	3.7755	3.9362	4.1739	4.0851	3.875
	N	49	49	47	46	47	48
"Winterbotham,Glyn:ACCT-3311-002-FINANCIAL ACCOUNTING I"	Mean	4.4	3.98	3.9792	4.4898	4.4	4.3125
	N	50	50	48	49	50	48
"Wipawayangkool,Kamphol:INSY-2303-008-INTRO TO MIS/DATA PROCESSING"	Mean	3.9722	3.8919	4	4.2162	4.3529	3.9444
	N	36	37	35	37	34	36
"Wise,Sandra:PORT-2313-022-INTERMEDIATE PORTUGUESE I"	Mean	4.8182	4.7273	4.7273	4.9091	4.7273	4.8182
	N	11	11	11	11	11	11
"Wise,Sandra:PORT-2314-022-INTERMEDIATE PORTUGUESE II"	Mean	4.8182	4.7273	4.8182	4.8	4.7273	4.8182
	N	11	11	11	10	11	11
"Wise,Sandra:SPAN-1441-002-BEGINNING SPANISH I"	Mean	4.381	4.2381	4.1905	4.2857	4.1905	4.381
	N	21	21	21	21	21	21
"Wise,Sandra:SPAN-1442-004-BEGINNING SPANISH II"	Mean	3.8333	3.7222	4.3889	4.1111	4.0556	3.8889
	N	18	18	18	18	18	18
"Wolff,Nancy:MATH-1316-007-MATH ECON & BUS ANLYS"	Mean	4.7188	4.7188	4.5937	4.6563	4.625	4.7813
	N	32	32	32	32	32	32
"Wolff,Nancy:MATH-1316-008-MATH ECON & BUS ANLYS"	Mean	4.5849	4.5185	4.5	4.7037	4.6604	4.7925
	N	53	54	54	54	53	53
"Wolff,Nancy:MATH-1316-009-MATH ECON & BUS ANLYS"	Mean	4.6563	4.7187	4.7187	4.6562	4.7187	4.7187
	N	32	32	32	32	32	32
"Wood,Nicholas:ART-3363-001-CLAY"	Mean	4.4545	4.4545	4.5455	4.5455	4.5455	4.7273
	N	11	11	11	11	11	11
"Wood,Nicholas:ART-3363-003-CLAY"	Mean	4.4167	4	4.4167	4.25	4.1667	4.25
	N	12	12	12	12	12	12
"Wood,Nicholas:ART-4343-001-ADVANCED CLAY"	Mean	4.0769	3.5385	3.8462	3.8462	4	4.1538
	N	13	13	13	13	13	13
"Woods,Robert:MAE-4287-001-DESIGN PROJECT I"	Mean	4.2857	4.2	4.1429	4.4571	4.4286	4.2286
	N	35	35	35	35	35	35
"Wright,Carroll:ARCH-1341-002-DESIGN COMMUNICATIONS"	Mean	4.3333	4.2581	4.3667	4.4516	3.9677	4.3333
	N	30	31	30	31	31	30
"Wright,Carroll:ARCH-1341-003-DESIGN COMMUNICATIONS"	Mean	4.2308	4.4103	4.4103	4.4737	3.9737	4.3684
	N	39	39	39	38	38	38
"Wright,Matthew:CSE-4392-001-SPECIAL TOPICS"	Mean	4.6667	4.6667	5	5	5	3
	N	3	3	3	3	3	2
"Wright,Matthew:CSE-5381-001-INFORMATION SECURITY 2"	Mean	5	4.8	4.6	5	4.8	4.8
	N	5	5	5	5	5	5
"Wright,Matthew:CSE-6388-001-SPEC TOPS ADV INFO SECURITY"	Mean	4.3333	4.3333	4.8333	4.6667	4.6667	4.8333
	N	6	6	6	6	6	6
"Wright,Tamara:NURS-3320-001-HOLISTIC HEALTH ASSESSMENT"	Mean	4.7794	4.7101	4.7059	4.8261	4.7206	4.8088
	N	68	69	68	69	68	68
"Wright,Tamara:NURS-3320-600-HOLISTIC HEALTH ASSESSMENT"	Mean	4.75	4.5	4.5	4.5	4.5	4.5
	N	4	4	4	4	4	4
"Wright,Wilton:ENGL-1302-041-CRITICAL THINK, READ, WRITE (2102-21760)"	Mean	4.6923	4.6923	4.6154	4.6923	4.9167	4.5833
	N	13	13	13	13	12	12
"Wunder,Timothy:ECON-2305-004-PRIN MACRO ECO"	Mean	4.5735	4.1594	4.5217	4.7647	4.5147	4.4783
	N	68	69	69	68	68	69
"Wunder,Timothy:ECON-2305-005-PRIN MACRO ECO"	Mean	4.7121	4.4848	4.6364	4.8333	4.6615	4.5455
	N	66	66	66	66	65	66
"Wunder,Timothy:ECON-2305-006-PRIN MACRO ECO"	Mean	4.6538	4.4615	4.6154	4.8846	4.5385	4.3846
	N	26	26	26	26	26	26
"Wunder,Timothy:ECON-4306-001-COMPARATIVE ECONOMIC SYSTEMS"	Mean	4.3571	4.2857	4.2857	4.5	4.3571	4.2143
	N	28	28	28	28	28	28
"Wyman,Sherman:URPA-5358-001-ETHICS IN THE PUBLIC SERVICE"	Mean	4	4.7	4.9	4.6	4.7	4.9
	N	10	10	10	10	10	10
"Wyman,Sherman:URPA-5358-004-ETHICS IN THE PUBLIC SERVICE"	Mean	4.25	4.125	4.7778	4.4444	4.625	4.7778
	N	8	8	9	9	8	9
"Wyrick,Nancy:NURS-5306-001-PEDIATRIC MANAGEMENT ANP"	Mean	4.6	4.5714	4.6	4.6667	4.4	4.5714
	N	15	14	15	15	15	14
"Yakas,James:MUSI-1251-002-PRIVATE LESSONS IN PERCUSSION"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Yakas,James:MUSI-2104-001-PERC CLASS"	Mean	4.8571	4.7857	4.8667	4.8667	4.5333	4.7857
	N	14	14	15	15	15	14
"Yakas,James:MUSI-2251-002-PRIVATE LESSONS IN PERCUSSION"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Yakas,James:MUSI-3250-002-PRIVATE LESSONS IN PERCUSSION"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Yakas,James:MUSI-4251-002-PRIVATE LESSONS IN PERCUSSION"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Yanez,Christa:SPAN-3303-001-ADVANCED SPANISH CONVERSATION"	Mean	4.8462	4.7692	4.8462	4.8462	4.7692	4.8333
	N	13	13	13	13	13	12
"Yang,Jian:BE-5333-010-NANOBIOMATERIALS"	Mean	4.3	3.9	4.6	4.6	4.5	4.2
	N	10	10	10	10	10	10
"Yang,Zhiyong:MARK-3324-003-BUYER BEHAVIOR"	Mean	4.2963	4.1481	4.5556	4.6296	4.5926	4.2963
	N	27	27	27	27	27	27
"Yang,Zhiyong:MARK-5320-001-BUYER BEHAVIOR"	Mean	3.6471	4	4.4118	4.6471	4.7059	3.7059
	N	17	17	17	17	17	17
"Yasar,Mahmut:ECON-2306-005-PRIN MICRO ECO"	Mean	4.0811	4.1351	4.1892	4.5278	4.4054	4.2778
	N	37	37	37	36	37	36
"Yasar,Mahmut:ECON-5313-001-MANAGERIAL ECONOMICS"	Mean	4.3433	4.2239	4.3788	4.5231	4.5079	4.4531
	N	67	67	66	65	63	64
"Yazdani,Nur:CE-4347-001-REINFORCED CONCRETE DESIGN"	Mean	4.4857	4.3529	4.5882	4.6857	4.3143	4.4286
	N	35	34	34	35	35	35
"Yeung,Kai:EE-3317-001-LINEAR SYSTEMS"	Mean	4.4063	4.4375	4.4688	4.6875	4.2813	4.4667
	N	32	32	32	32	32	30
"Yeung,Kai:EE-5321-001-OPTIMAL CONTROL"	Mean	4.5385	4.7692	4.6154	5	4.3846	4.9231
	N	13	13	13	13	13	13
"Yilla,Abu:KINE-3304-001-ADAPTED PE & SPORT"	Mean	4.6	4.5333	4.6207	4.6897	4.4483	4.4667
	N	30	30	29	29	29	30
"Yilla,Abu:KINE-3325-001-DATA ACQUISITION & MANAGEMENT"	Mean	4.1282	3.9211	4.0789	4.2703	4.2162	3.9737
	N	39	38	38	37	37	38
"Yilla,Abu:KINE-3325-002-DATA ACQUISITION & MANAGEMENT"	Mean	4.0741	4.037	4.4815	4.3333	4.2593	4.1111
	N	27	27	27	27	27	27
"Yilla,Abu:KINE-3388-001-THEORY IN MOTOR DEVELOPMENT"	Mean	4.2941	4.1471	4.2121	4.4545	4.1765	4.2647
	N	34	34	33	33	34	34
"Yong,Li:FINA-3313-003-BUSINESS FINANCE"	Mean	4.3286	4.1408	4.0286	4.5352	4.2113	4.3
	N	70	71	70	71	71	70
"Yong,Li:FINA-3313-004-BUSINESS FINANCE"	Mean	4.3765	4.1529	4	4.4643	4.4	4.3214
	N	85	85	84	84	85	84
"York,Rebecca:EDUC-5314-001-EFFECTIVE CLASSRM INSTRUCTION"	Mean	4.3333	4.1111	4	4.1111	4.7778	4.1111
	N	9	9	9	9	9	9
"York,Rebecca:EDUC-5315-001-PRACTICUM (2102-22695)"	Mean	1.5	2.5	3.5	2	3.5	2
	N	2	2	2	2	2	2
"Young,Paula:ENGL-0300-005-RDG COMPREHENSION & WRITING"	Mean	3.375	3.5	4	3.625	4	3.4286
	N	8	8	7	8	8	7
"Young,Robert:SOCI-1311-003-INTRO TO SOCIO"	Mean	4.0678	3.8667	3.8	4.2881	3.9138	3.9492
	N	59	60	60	59	58	59
"Young,Robert:SOCI-3315-001-SOC PSYC CRIME"	Mean	4.2857	4.2381	4.1667	4.4762	4.2857	4.1951
	N	42	42	42	42	42	41
"Young,Robert:SOCI-3319-001-SMALL GROUPS"	Mean	4.2727	4.1364	4.3636	4.3182	4.4762	3.9091
	N	22	22	22	22	21	22
"Youssefzadeh,Bijan:ARCH-5592-001-DESIGN STUDIO II"	Mean	3.8	4.1	4	4.2	4.1	4.3
	N	10	10	10	10	10	10
"Zabodyn,Carrie:ARCH-2551-002-BASIC DESIGN AND DRAWING I"	Mean	4.1	3.5	3.6	3.4	4.2	3.3
	N	10	10	10	10	10	10
"Zaruba,Gergely:CSE-4342-001-EMBEDDED SYSTEMS II"	Mean	4	3.5	4	3.5	4.5	3.5
	N	2	2	2	2	2	2
"Zaruba,Gergely:CSE-5343-001-REAL-TIME DATA ACQ & CNTRL SYS"	Mean	4.2	4.1	4.4444	4.3	4.4444	4.25
	N	10	10	9	10	9	8
"Zhang,Jian Chun:MATH-1322-002-PRECALCULUS I"	Mean	3.45	3.55	3.5	4.15	4.4	3.6
	N	20	20	20	20	20	20
"Zhang,Jie:INSY-2303-003-INTRO TO MIS/DATA PROCESSING"	Mean	3.9	3.45	3.5	3.65	4.15	3.5
	N	20	20	20	20	20	20
"Zhang,Jie:INSY-2303-007-INTRO TO MIS/DATA PROCESSING"	Mean	3.36	3.04	3.2083	3.32	3.8	3.16
	N	25	25	24	25	25	25
"Zhang,Jun:MATH-1426-004-CALCULUS I"	Mean	3.125	2.75	2.875	3.5	3.75	3.1875
	N	16	16	16	16	16	16
"Zhang,Lulu:INSY-2303-002-INTRO TO MIS/DATA PROCESSING"	Mean	3.2059	3.1765	3.2059	3.8182	3.7059	3
	N	34	34	34	33	34	33
"Zhang,Qiming:PHYS-5312-001-MATH METHODS II"	Mean	4.25	4	4.5	4.5	4.75	4.25
	N	4	4	4	4	4	4
"Zhou,Weidong:EE-5384-001-OPTOELEC DEVICES FOR COMM"	Mean	4.2857	4.4286	4.4286	4.5714	4.7143	4.5714
	N	7	7	7	7	7	7
"Zhu,Jianping:MATH-3319-002-DIFF EQ & LINEAR ALGEBRA"	Mean	4.7813	4.8125	4.6875	4.9063	4.5625	4.9375
	N	32	32	32	32	32	32
"Zuzak,Karel:BE-5382-006-LABORATORY PRINCIPLES"	Mean	3.9412	3.7059	4.3333	4.0556	3.6667	4
	N	17	17	18	18	18	18
Total	Mean	4.2824	4.1555	4.2845	4.4235	4.3245	4.243
	N	24884	24912	24915	24941	24855	24831
